#Pulsar  P(ms)  Pdot(1e-20 s/s)  DM(pc cm^-3)  t_scatt(ms)  W50(ms)  GL(deg)  GB(deg)  S1400(mJy)  L1400(mJy kpc^2)  SPIDX  Dist(kpc)  X(kpc)  Y(kpc)  Z(kpc)  sigtoa3(ms)  sigtoa10(ms)
B1937+21  1.557807  10.510026  71.090617  0.000077002  0.036932881  57.508890  -0.289595  13.201041  162.182738  -2.315000  3.505082  1.882797  2.956411  -0.017716  0.000000004  0.000000013
J1944+0907  5.185202  1.733671  24.357987  0.000020340  0.364482755  47.160183  -7.357052  2.599577  7.536726  -0.324000  1.702707  1.148226  1.238244  -0.218035  0.000000249  0.000000831
J1946+3417  3.170139  0.316390  110.178388  0.000297608  0.221676144  69.294326  4.712649  0.290103  7.673044  -1.600000  5.142900  1.812215  4.794451  0.422533  0.000000545  0.000001817
B1953+29  6.133167  2.973900  104.516916  0.000074346  0.224254069  65.839274  0.443238  0.685968  14.781359  -2.655000  4.642000  1.899903  4.235238  0.035910  0.000000518  0.000001728
J2010-1323  5.223271  0.482503  22.176742  0.000031247  0.247209216  29.445610  -23.539704  1.599942  10.929851  -1.600000  2.613696  2.086660  1.177962  -1.043869  0.000000069  0.000000228
J2017+0603  2.896216  0.799355  23.923485  0.000009982  0.063989472  48.620756  -16.026324  0.500237  1.231621  -1.600000  1.569100  0.996926  1.131616  -0.433196  0.000000211  0.000000702
J2033+1734  5.948958  1.114647  25.080758  0.000003995  0.230754748  60.856608  -13.154166  0.403925  1.616348  -1.600000  2.000400  0.948627  1.701313  -0.455235  0.000000575  0.000001917
J2043+1711  2.379879  0.524431  20.758775  0.000002498  0.021127887  61.918817  -15.312885  0.107986  0.206695  -1.600000  1.383509  0.628128  1.177309  -0.365371  0.000000658  0.000002194
J2145-0750  16.052424  2.979153  9.001883  0.000004511  0.338607441  47.776712  -42.083624  1.695720  1.105330  -3.324000  0.807363  0.402674  0.443725  -0.541107  0.000000355  0.000001184
J2214+3000  3.119227  1.472856  22.544019  0.000004280  0.181039655  86.855361  -21.665163  0.530006  0.181149  -1.600000  0.584624  0.029805  0.542507  -0.215833  0.000000352  0.000001173
J2229+2643  2.977819  0.152368  22.726958  0.000005704  0.437253394  87.693044  -26.283926  0.899945  1.851640  -2.132000  1.434400  0.051769  1.285056  -0.635181  0.000000172  0.000000574
J2234+0611  3.576582  1.201441  10.766960  0.000001033  0.089025725  72.990881  -43.005697  0.700514  1.019313  0.676000  1.206273  0.258044  0.843544  -0.822764  0.000000131  0.000000438
J2234+0944  3.627028  2.009974  17.831629  0.000009374  0.232237167  76.280340  -40.438344  nan  nan  nan  1.441338  0.260179  1.065708  -0.934894  nan  nan
J2302+4442  5.192325  1.386818  13.788120  0.000021778  0.344534999  103.395243  -14.004577  1.200249  1.680303  -1.790000  1.183200  -0.265961  1.116799  -0.286334  0.000000349  0.000001163
J2317+1439  3.445251  0.243074  21.875956  0.000005158  0.152227011  91.360745  -42.360178  3.679705  9.814867  -1.256000  1.633186  -0.028658  1.206460  -1.100423  0.000000027  0.000000089
J2322+2057  4.808428  0.965670  13.383955  0.000001399  0.304793511  96.514579  -37.310077  nan  nan  nan  1.053630  -0.095079  0.832611  -0.638635  nan  nan
